Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:Dumfries and Galloway,S12000006,1,2.2,1.9,3.4,4.8,1.2,2.2,-11.3,-11.3,128.2,-0.7,-0.9,2.9,2.3,0.4,3.3,1.7
lacu:Dundee City,S12000042,1.4,0.2,-0.1,-5.6,16.2,0.1,-8.3,-19.1,-19.1,-19.4,1,0.8,4.4,-1.7,1.1,-3.8,2.9
lacu:East Ayrshire,S12000008,1.5,3.9,3.7,7.8,2.6,3.6,2.6,-7.6,-7.6,44.9,0.7,0.4,5.5,7.1,3.3,9.8,3.4
lacu:East Dunbartonshire,S12000045,3.9,4.2,3.9,6.9,12.9,5.7,-5.9,-8.3,-8.3,6.7,1.5,1.2,5.3,3.2,9.7,-1,3.5
lacu:East Lothian,S12000010,2.6,3.4,3.2,5.6,13.5,1.1,6,-9.5,-9.5,9.3,3.6,3.6,4.5,5.5,0.2,10.2,3
lacu:East Renfrewshire,S12000011,1.6,0.8,0.5,3.9,12.6,0.3,-3.7,-10.9,-10.9,-3.9,1.2,0.8,5.5,-0.9,0.9,-2.8,3.7
lacu:City of Edinburgh,S12000036,3.8,4,3.9,11.7,7.9,3.1,-0.3,-4.2,-4.2,5.2,2.6,2.6,1.6,3.7,4.8,3.2,1.4
lacu:Na h-Eileanan Siar,S12000013,3,5.2,4.7,-9.1,7.8,5.5,9.6,-22.1,-22.1,69.3,1.6,1.3,6,7.5,6,8.8,3.8
lacu:Falkirk,S12000014,4.6,5.9,5.7,5.8,8.3,5.5,5.9,-9.3,-9.3,15.8,2.9,2.5,7.6,6.7,7.5,6.4,5.1
lacu:Fife,S12000047,2.7,1.9,1.7,5.5,8.2,1.3,-1.9,-9.5,-9.5,-5.7,4,4,5.2,1.7,1.1,1.7,3.4
lacu:Glasgow City,S12000049,2.5,3.8,3.6,10.5,11,1.8,5.7,-5.2,-5.2,14.6,0.1,-0.3,5.7,3.9,2,5,3.8
lacu:Highland,S12000017,2.1,3.9,3.6,5.5,5.7,3.7,0.2,-9.5,-9.5,28.2,2.1,2,3.4,7,2.2,10.8,2.4
lacu:Inverclyde,S12000018,1.7,0.3,0.1,-2.5,8.9,0.3,-3.7,-16.4,-16.4,-33.5,2,1.8,4.3,-1.3,0.1,-2.8,2.4
lacu:Midlothian,S12000019,1.3,3,2.7,4.3,13.8,1.1,6,-10.6,-10.6,14.8,1.6,1.3,5.3,5.9,0.3,10.2,4
lacu:Moray,S12000020,2.9,2.3,2.1,6,4.8,3.6,-8.8,-9.1,-9.1,-1.9,5.1,5.3,3.8,2.9,3.2,2.8,2.4
lacu:North Ayrshire,S12000021,1.6,4.1,4,13.8,-1.9,3.7,2.4,-2.4,-2.4,140.5,0.8,0.5,5.5,7,3.2,9.7,3.5
lacu:North Lanarkshire,S12000050,1.7,1.1,1,3.3,9.2,1,-4.5,-11.4,-11.4,-2.4,1.2,0.7,7.8,0.1,1.8,-1.5,4.9
lacu:Orkney Islands,S12000023,2.3,1.1,1.1,17.4,-2,-0.9,0.2,0.5,0.5,-5.8,-0.5,-1.1,6.6,-2.4,5.5,-6.1,4.5
lacu:Perth and Kinross,S12000048,2.5,1.6,1.3,5.2,7.4,-0.1,1.8,-9.8,-9.8,-6.5,3.3,3.3,3.3,0.7,3.6,-1.6,2.2
lacu:Renfrewshire,S12000038,2.6,1.2,1.2,12.1,2.4,0.3,-3.7,-3.8,-3.8,-9.1,1.9,1.7,5.3,-1.2,0.5,-2.8,3.5
lacu:Scottish Borders,S12000026,2.3,3.2,2.9,1.8,9.3,1.6,5.3,-12.7,-12.7,23.4,2.8,2.8,2.2,5.2,-0.1,9.6,1.6
lacu:Shetland Islands,S12000027,-0.9,-0.4,-0.5,8.5,1.8,0.4,-12.8,-7,-7,2.1,-3.8,-4.8,7.5,-1.2,4.1,-4.7,4.7
lacu:South Ayrshire,S12000028,1.1,-0.4,-0.5,9.2,-2.7,-1.2,-3.3,-6.3,-6.3,-25,1.1,1,2.8,-2.5,1.2,-5.3,1.9
lacu:South Lanarkshire,S12000029,3.4,3.9,3.7,2.1,18.2,4,-3.1,-12.4,-12.4,7.7,1,0.6,6.4,3,5.5,1.4,4.1
lacu:Stirling,S12000030,1.9,1.1,0.8,-3.5,14.2,-0.1,1.8,-17.2,-17.2,-4.5,3,3,3.4,0.7,3.5,-1.6,2.3
lacu:West Dunbartonshire,S12000039,5,5.2,5.1,7.7,5.6,5.8,-5.9,-7.6,-7.6,9.4,1,0.7,4.6,2.1,8.1,-1.1,2.7
lacu:West Lothian,S12000040,3.7,4.6,4.2,-7.2,19.3,4.1,7.7,-20.4,-20.4,9.8,5.4,5.3,6.6,7,4.7,8.8,4.4
lacu:Antrim and Newtownabbey,N09000001,3.6,4.6,4,9.9,7.4,3.1,2,-36,-36,14,0.8,0.8,1,4,4.3,4.5,0.7
"lacu:Armagh City, Banbridge and Craigavon",N09000002,3.2,3,2.4,7.4,10.3,0.6,2.4,-37.3,-37.3,1,0.3,-0.1,3,0.5,-3.7,2.4,2.2
lacu:Belfast,N09000003,2.8,2.6,2.1,6.3,12.6,1.9,-7.1,-38.1,-38.1,0.5,-0.1,0.2,-3,0,2.8,-1,-2.3
lacu:Causeway Coast and Glens,N09000004,4.2,5.2,4.4,9.3,20.3,0,8,-36.2,-36.2,80.9,-0.4,-0.8,3.2,2.4,-1.9,4.8,2.4
lacu:Derry City and Strabane,N09000005,2.9,4.9,4.4,16.2,7.7,2.9,1.6,-32.3,-32.3,-86.6,-1.6,-1.8,0.3,3.4,2.2,4.8,0.1
